0, a, plant, 
1, a, plant, 
2, a, plant, 
3, a, plant, 
4, a, plant, 
5, a, plant, 
6, b, plant, 
7, b, plant, 
8, b, plant, 
9, b, plant, 
10, b, plant, 
11, b, plant, 
12, b, plant, 
13, b, plant, 
14, c, plant, 
15, c, plant, 
16, b, plant, 
17, c, plant, 
18, c, plant, 
19, a, plant, 
20, a, plant, 
21, a, plant, 
22, b, plant, 
23, c, plant, 
24, c, plant, 
25, b, plant, 
26, b, plant, 
27, b, plant, 
28, b, plant, 
29, A, herbivore, 
30, B, herbivore, 
31, a, plant, 
36, c, plant, 
37, c, plant, 
38, c, plant, 
39, b, plant, 
40, a, plant, 
41, a, plant, 
42, a, plant, 
43, A, herbivore, 
44, B, herbivore, 
46, b, plant, 
49, F, omnivore, 
50, a, plant, 
51, a, plant, 
52, a, plant, 
53, a, plant, 
54, a, plant, 
56, G, omnivore, 
57, b, plant, 
58, c, plant, 
59, b, plant, 
60, c, plant, 
61, b, plant, 
62, b, plant, 
63, a, plant, 
64, b, plant, 
65, b, plant, 
66, b, plant, 
67, c, plant, 
68, a, plant, 
69, c, plant, 
70, c, plant, 
72, A, herbivore, 
73, b, plant, 
74, a, plant, 
75, a, plant, 
79, a, plant, 
80, a, plant, 
81, b, plant, 
82, a, plant, 
83, a, plant, 
84, a, plant, 
85, a, plant, 
86, b, plant, 
87, b, plant, 
88, c, plant, 
89, d, plant, 
90, d, plant, 
91, d, plant, 
92, d, plant, 
93, d, plant, 
94, d, plant, 
96, b, plant, 
97, a, plant, 
100, d, plant, 
101, d, plant, 
104, d, plant, 
109, a, plant, 
110, a, plant, 
111, b, plant, 
112, d, plant, 
113, d, plant, 
114, d, plant, 
115, d, plant, 
116, d, plant, 
117, a, plant, 
118, a, plant, 
119, C, herbivore, 
120, e, plant, 
121, e, plant, 
122, e, plant, 
123, D, omnivore, 
126, A, herbivore, 
127, a, plant, 
128, e, plant, 
129, e, plant, 
130, a, plant, 
131, b, plant, 
132, b, plant, 
134, b, plant, 
135, b, plant, 
136, G, omnivore, 
138, C, herbivore, 
139, b, plant, 
140, b, plant, 
141, c, plant, 
142, c, plant, 
143, b, plant, 
144, A, herbivore, 
145, a, plant, 
146, e, plant, 
147, e, plant, 
148, F, omnivore, 
150, d, plant, 
151, d, plant, 
152, a, plant, 
153, a, plant, 
154, a, plant, 
156, C, herbivore, 
159, f, plant, 
160, f, plant, 
161, f, plant, 
162, f, plant, 
163, b, plant, 
164, b, plant, 
165, b, plant, 
166, G, omnivore, 
167, f, plant, 
168, f, plant, 
169, f, plant, 
170, f, plant, 
171, f, plant, 
172, f, plant, 
173, f, plant, 
174, f, plant, 
176, C, herbivore, 
177, f, plant, 
178, f, plant, 
179, f, plant, 
180, f, plant, 
181, f, plant, 
182, D, omnivore, 
183, b, plant, 
184, b, plant, 
185, b, plant, 
186, b, plant, 
187, b, plant, 
188, a, plant, 
189, a, plant, 
190, f, plant, 
191, f, plant, 
192, f, plant, 
193, f, plant, 
222, A, herbivore, 
240, A, herbivore, 
245, A, herbivore, 
251, A, herbivore, 
257, A, herbivore, 
269, D, omnivore, 
270, D, omnivore, 
276, B, herbivore, 
284, A, herbivore, 
287, B, herbivore, 
293, B, herbivore, 
298, B, herbivore, 
299, B, herbivore, 
300, D, omnivore, 
301, D, omnivore, 
309, B, herbivore, 
314, B, herbivore, 
315, A, herbivore, 
317, B, herbivore, 
321, A, herbivore, 
322, B, herbivore, 
328, A, herbivore, 
329, B, herbivore, 
330, B, herbivore, 
331, D, omnivore, 
340, A, herbivore, 
342, D, omnivore, 
343, B, herbivore, 
